"","gender","age","trust_politicians","vote","freedom","satisfied_democracy"
"525",2,50,2,NA,2,2
"526",2,40,7,1,4,7
"527",1,43,3,1,4,8
"528",2,52,5,1,2,8
"529",1,23,6,1,1,9
"530",2,33,7,1,1,5
"531",1,59,7,1,2,7
"532",2,42,3,1,4,5
"533",1,63,6,1,2,5
"534",2,66,4,1,4,5
"535",1,76,3,1,2,8
"536",1,19,4,NA,4,10
"537",1,22,6,1,1,9
"538",1,24,7,1,2,10
"539",1,28,4,2,2,6
"540",1,53,7,1,5,8
"541",2,81,9,1,1,8
"542",1,29,6,1,1,9
"543",1,23,7,1,4,10
"544",2,56,8,1,2,8
"545",1,38,8,1,3,9
"546",1,55,5,1,1,7
"547",1,41,7,NA,NA,10
"548",2,51,3,1,4,6
"549",1,50,3,1,1,7
"550",2,28,4,1,3,6
"551",1,58,6,1,2,7
"552",2,52,2,1,2,7
"553",1,53,3,1,3,5
"554",1,68,4,1,2,6
"555",1,34,6,1,3,8
"556",1,49,6,1,3,8
"557",1,66,6,1,2,7
"558",2,55,5,2,2,8
"559",1,70,1,1,1,6
"560",1,43,6,1,2,5
"561",2,68,5,1,2,5
"562",1,72,5,1,3,7
"563",1,47,5,1,1,9
"564",2,35,4,NA,2,9
"565",2,24,8,2,2,8
"566",1,44,6,1,4,7
"567",2,40,6,1,3,6
"568",1,37,0,1,3,7
"569",1,18,7,NA,2,8
"570",1,60,7,1,1,7
"571",1,66,7,1,2,7
"572",1,56,6,1,1,6
"573",1,21,5,2,2,9
"574",2,20,7,NA,5,7
"575",1,17,6,NA,3,0
"576",2,47,5,2,NA,NA
"577",2,48,3,1,1,10
"578",1,23,6,1,2,8
"579",2,32,6,NA,4,10
"580",2,47,3,1,2,8
"581",1,58,5,1,2,7
"582",1,26,4,1,3,5
"583",1,67,6,1,2,9
"584",2,93,6,1,NA,7
"585",1,53,6,1,2,7
"586",2,38,3,1,2,3
"587",2,34,6,2,1,8
"588",1,61,9,1,2,10
"589",2,57,3,1,2,4
"590",1,56,7,1,4,8
"591",1,26,5,1,1,10
"592",1,54,4,1,2,7
"593",1,85,6,1,2,8
"594",2,32,4,1,1,1
"595",1,66,3,1,2,7
"596",2,57,2,1,2,6
"597",2,88,8,1,1,5
"598",1,60,6,1,1,7
"599",1,48,1,1,4,7
"600",2,33,7,1,2,5
"601",2,70,6,1,2,8
"602",1,19,4,NA,1,6
"603",1,45,4,1,1,6
"604",2,74,5,1,2,7
"605",1,39,7,NA,5,9
"606",1,39,7,1,2,9
"607",1,18,3,NA,1,5
"608",2,62,5,1,1,8
"609",2,50,7,1,1,9
"610",1,62,7,1,3,8
"611",1,17,2,NA,1,8
"612",2,16,6,NA,4,8
"613",2,56,5,1,1,6
"614",2,54,7,2,4,8
"615",2,23,5,1,2,5
"616",1,23,6,2,1,7
"617",1,37,5,NA,2,9
"618",1,20,6,NA,3,8
"619",2,63,7,1,2,8
"620",1,20,6,1,3,5
"621",2,28,7,1,3,8
"622",1,71,5,1,2,7
"623",1,82,6,1,1,8
"624",2,27,6,1,3,9
"625",1,21,7,1,2,8
"626",1,42,5,1,5,7
"627",1,42,6,2,5,10
"628",1,34,8,1,2,7
"629",1,34,4,1,1,6
"630",2,63,7,1,1,7
"631",2,34,6,NA,3,8
"632",2,48,6,1,5,8
"633",1,18,7,NA,2,9
"634",2,80,3,1,2,7
"635",2,31,6,1,2,7
"636",1,61,5,2,2,8
"637",1,40,4,1,3,5
"638",2,50,7,1,3,9
"639",2,49,5,1,2,7
"640",2,42,5,1,1,8
"641",2,35,7,2,1,8
"642",1,43,7,1,3,8
"643",2,22,6,1,3,8
"644",2,29,7,1,4,8
"645",1,31,8,1,5,8
"646",2,22,NA,2,2,NA
"647",1,71,5,1,1,9
"648",2,68,7,1,2,9
"649",1,23,8,1,4,9
"650",2,44,6,1,3,9
"651",1,70,5,1,1,4
"652",1,63,8,1,4,8
"653",1,48,6,1,2,8
"654",1,26,5,2,4,7
"655",2,28,8,1,1,9
"656",2,16,6,NA,3,7
"657",2,59,10,1,4,7
"658",1,37,4,1,5,7
"659",1,30,5,1,2,5
"660",2,72,4,1,3,5
"661",2,62,6,1,3,6
"662",1,88,8,2,2,10
"663",2,80,4,1,4,7
"664",1,32,6,1,2,8
"665",1,50,3,1,3,5
"666",1,26,6,1,5,8
"667",2,54,6,1,2,7
"668",2,50,6,1,2,5
"669",2,37,5,1,1,8
"670",2,66,6,1,4,6
"671",2,69,6,1,2,5
"672",1,70,6,1,3,5
"673",1,24,3,1,4,5
"674",1,18,3,NA,NA,6
"675",1,61,6,1,3,7
